k,score,acc,reason,halluc,n,source
0,2.157142857142857,1.2714285714285714,0.8142857142857143,0.9571428571428572,70,external_ksweep_k0_mh_metrics_20260717_140031.csv
1,5.871428571428571,3.5142857142857142,1.7571428571428571,0.5428571428571428,70,locked_appc
2,5.785714285714286,3.4285714285714284,1.7714285714285714,0.6571428571428571,70,external_ksweep_k2_mh_metrics_20260717_140413.csv
3,5.542857142857143,3.4285714285714284,1.7,0.7428571428571429,70,external_ksweep_k3_mh_metrics_20260717_140812.csv
